Mouse.gene.name	Mouse.gene.stable.ID	Trait_name	P.VALUE	mapped_genes_human
Grm8	ENSMUSG00000024211	neuroticism	5e-14	GRM8
Gtf2ird1	ENSMUSG00000023079	neuroticism	3e-8	GTF2IRD1
H2-Aa	ENSMUSG00000036594	autism spectrum disorder	1e-13	HLA-DQA1
H2-Aa	ENSMUSG00000036594	schizophrenia	1e-13	HLA-DQA1
H2-Ab1	ENSMUSG00000073421	autism spectrum disorder	2e-14	HLA-DQB1
H2-Ab1	ENSMUSG00000073421	schizophrenia	2e-14	HLA-DQB1
H2-DMb1	ENSMUSG00000079547	autism spectrum disorder	4e-14	HLA-DMB
H2-DMb1	ENSMUSG00000079547	schizophrenia	4e-14	HLA-DMB
H2-DMb2	ENSMUSG00000037548	autism spectrum disorder	4e-14	HLA-DMB
H2-DMb2	ENSMUSG00000037548	schizophrenia	4e-14	HLA-DMB
H2-Eb1	ENSMUSG00000060586	autism spectrum disorder	6e-13	HLA-DRB1
H2-Eb1	ENSMUSG00000060586	schizophrenia	6e-13	HLA-DRB1
H2-Eb2	ENSMUSG00000067341	autism spectrum disorder	6e-13	HLA-DRB1
H2-Eb2	ENSMUSG00000067341	schizophrenia	6e-13	HLA-DRB1
Hcn1	ENSMUSG00000021730	schizophrenia	4e-11	HCN1
Hfe	ENSMUSG00000006611	autism spectrum disorder	1e-13	HFE
Hfe	ENSMUSG00000006611	schizophrenia	1e-13	HFE
Hhat	ENSMUSG00000037375	schizophrenia	6e-9	HHAT
Igsf9b	ENSMUSG00000034275	schizophrenia	9e-13	IGSF9B
Immp2l	ENSMUSG00000056899	autism spectrum disorder	2e-11	IMMP2L
Immp2l	ENSMUSG00000056899	schizophrenia	3e-13	IMMP2L
Inpp5d	ENSMUSG00000026288	Alzheimer's disease	2e-10	INPP5D
Inpp5f	ENSMUSG00000042105	Parkinson's disease	2e-19	INPP5F
Ints7	ENSMUSG00000037461	bipolar disorder	2e-8	INTS7
Ip6k2	ENSMUSG00000032599	Parkinson's disease	9e-9	IP6K2
Itga8	ENSMUSG00000026768	Parkinson's disease	1e-8	ITGA8
Itih1	ENSMUSG00000006529	bipolar disorder	3e-9	ITIH1
Itih1	ENSMUSG00000006529	Parkinson's disease	3e-8	ITIH1
Itih3	ENSMUSG00000006522	autism spectrum disorder	3e-12	ITIH3
Itih3	ENSMUSG00000006522	bipolar disorder	3e-12	ITIH3
Itih3	ENSMUSG00000006522	schizophrenia	3e-12	ITIH3
Itih3	ENSMUSG00000006522	unipolar depression	3e-12	ITIH3
Itpkb	ENSMUSG00000038855	Parkinson's disease	2e-11	ITPKB
Itsn2	ENSMUSG00000020640	Alzheimer's disease	2e-8	ITSN2
Kansl1	ENSMUSG00000018412	neuroticism	3e-25	KANSL1
Kansl1	ENSMUSG00000018412	Parkinson's disease	8e-9	KANSL1
Kcng2	ENSMUSG00000059852	schizophrenia	5e-10	KCNG2
Kcnq5	ENSMUSG00000028033	unipolar depression	2e-8	KCNQ5
Kdm1b	ENSMUSG00000038080	Alzheimer's disease	2e-8	KDM1B
Kdm3b	ENSMUSG00000038773	autism spectrum disorder	1e-8	KDM3B
